Response,Kidnapping Liam Neeson's daughter.,,,v1.0,v1.1,,,,,,Response,The whole Jeffrey Epstein thing.,,,,v1.0,,,,,,,,,,,,
Response,Low sperm motility.,,,,v1.1,,,,,,Response,This horrible thing called twitter.,,,,v1.0,,,,,,,,,,,,
Response,Making the printer work.,,,v1.0,v1.1,,,,,,Response,Three hours of pimple-popping videos.,,,,v1.0,,,,,,,,,,,,
Response,Mulch.,,,,v1.1,,,,,,Response,Unwelcome sexual attention from grown men.,,,,v1.0,,,,,,,,,,,,
Response,My tired husband's soft penis.,,,,v1.1,,,,,,Response,Using words to communicate.,,,,v1.0,,,,,,,,,,,,
Response,Puns.,,,v1.0,v1.1,,,,,,Response,War with China.,,,,v1.0,,,,,,,,,,,,
Response,Sitting on the toilet for 45 minutes.,,,v1.0,v1.1,,,,,,Response,Watching the life drain from the eyes of my son’s killer.,,,,v1.0,,,,,,,,,,,,
Response,Standing in the middle of the living room holding two remote controls.,,,v1.0,v1.1,,,,,,,,,,,,,,,,,,,,,,,
Response,Stealing a child's nose and keeping it forever.,,,v1.0,v1.1,,,,,,,TOTALS:,TOTALS:,,,30,0,0,0,0,,,,,,,,
Response,The nipples of a man.,,,v1.0,v1.1,,,,,,,,,,,,,,,,,,,,,,,
Response,The son of a bitch who knocked up my daughter.,,,v1.0,v1.1,,,,,,,,,,,,,,,,,,,,,,,
Response,Tripping on an object and becoming angry.,,,v1.0,v1.1,,,,,,,,,,,,,,,,,,,,,,,
Response,What Dad has to say about Muslims.,,,v1.0,v1.1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTALS:,,,30,30,0,0,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Set,Theatre Pack,Special,Special,Duplicates,v1.0,,,,,,,,,,,,
Set,Scary Pack,Special,Duplicates,v1.1,,,,,,,,"30 cards
Released: June 18, 2018  
Icon: Theatre masks",,,,,,,,,,,,,,,,
,"30 cards
Released: August 1, 2022. 
Icon: Bloody knife
Note: Comes with 1 of 3 posters.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Poster 1,,,,,,,,,,Prompt,"Alright everybody, HOLD!
Kelly, why is there ______ on my stage?",,,,v1.0,,,,,,,,,,,,
,Poster 2,,,,,,,,,,Prompt,Comedy = Tragedy + ______.,,,,v1.0,,,,,,,,,,,,
,Poster 3,,,,,,,,,,Prompt,"Let's take it from the top, and remember, you are ______. Show me  (SAME CARD AGAIN) .",,,,v1.0,,,,,,,,,,,,
,,,,,,,,,,,Prompt,"Match-maker,
match-maker,
make me a match.
Find me ______.",,,,v1.0,,,,,,,,,,,,
Prompt,"""I think I'm safe,"" she whispered. But then, out of nowhere, ______!",,,v1.0,,,,,,,Prompt,"This season at Manhattan Theatre Club: ""Who's afraid of ______?""",,,,v1.0,,,,,,,,,,,,
Prompt,"Anne screamed. On her mirror was a message scrawled in blood: ""I AM ______.""",,,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
Prompt,"Guillermo Del Toro is the master of supernatural horror, but even he is afraid of ______.",,,v1.0,,,,,,,Response,A dead salesman.,,,,v1.0,,,,,,,,,,,,
Prompt,"OH SHIT!
______ comin' out of Jumanji!",,,v1.0,,,,,,,Response,A Drama Desk Award for Outstanding Sound Design in a Play.,,,,v1.0,,,,,,,,,,,,
Prompt,"Tonight on Murder Files: An ordinary man, driven to kill by ______.",,,v1.0,,,,,,,Response,A fog machine.,,,,v1.0,,,,,,,,,,,,
,,,,v1.0,,,,,,,Response,A play about people I don't like doing things I don't care about.,,,,v1.0,,,,,,,,,,,,
Response,A big misunderstanding involving decapitations.,,,v1.0,,,,,,,Response,Absolutely butchering Sondheim.,,,,v1.0,,,,,,,,,,,,
Response,A CD of haunted house sound effects.,,,v1.0,,,,,,,Response,All 59 inches of Kristin Chenoweth.,,,,v1.0,,,,,,,,,,,,
Response,A cursed Fleshlight that makes you rapidly age when you fuck it.,,,v1.0,,,,,,,Response,An autographed headshot of Nathan Lane.,,,,v1.0,,,,,,,,,,,,
Response,A gremlin who spanks your wonderful ass with a fly swatter.,,,v1.0,,,,,,,Response,Being crushed to death by a stage light.,,,,v1.0,,,,,,,,,,,,
Response,A mannequin that gets a little closer every time you look away.,,,v1.0,,,,,,,Response,Brief male nudity.,,,,v1.0,,,,,,,,,,,,
Response,Agonizingly transforming into a trombone.,,,v1.0,,,,,,,Response,"Five miso soups, four seaweed salads, three soy burger dinners, two tofu dog platters, and one pasta with meatless meatballs.",,,,v1.0,,,,,,,,,,,,
Response,"An iguana that says ""Ooh la la!"" in a threatening way.",,,v1.0,,,,,,,Response,"Forgetting your lines, shitting your pants, and your pants falling down.",,,,v1.0,,,,,,,,,,,,
Response,Awakening an ancient evil.,,,v1.0,,,,,,,Response,Improv comedy.,,,,v1.0,,,,,,,,,,,,
Response,Chanting in Latin.,,,v1.0,,,,,,,Response,Killing Dad and fucking Mom.,,,,v1.0,,,,,,,,,,,,
Response,Crawling all over the walls and ceiling like a dumbass.,,,v1.0,,,,,,,Response,"Linda, 18 but wise beyond her years, achingly beautiful.",,,,v1.0,,,,,,,,,,,,
Response,Farting the X-Files theme.,,,v1.0,,,,,,,Response,My whole family watching.,,,,v1.0,,,,,,,,,,,,
Response,Getting disemboweled.,,,v1.0,,,,,,,Response,Narcissistic Personality Disorder.,,,,v1.0,,,,,,,,,,,,
Response,Having unprotected sex with The Blob.,,,v1.0,,,,,,,Response,Problematic depictions of Asian characters.,,,,v1.0,,,,,,,,,,,,
Response,Human sacrifice.,,,v1.0,,,,,,,Response,Rampant misogyny and sexual harassment.,,,,v1.0,,,,,,,,,,,,
Response,Knowing a bit too much about serial killers.,,,v1.0,,,,,,,Response,Taking a year off to study Japanese puppet theatre.,,,,v1.0,,,,,,,,,,,,
Response,"Night, the scariest half of the day.",,,v1.0,,,,,,,Response,The Phantom of the Opera.,,,,v1.0,,,,,,,,,,,,
Response,Pus.,,,v1.0,,,,,,,Response,"The wickedly talented, one and only, Adele Dazeem.",,,,v1.0,,,,,,,,,,,,
Response,Putting the lotion on its skin.,,,v1.0,,,,,,,Response,This old lady next to me who won't stop farting.,,,,v1.0,,,,,,,,,,,,
Response,Realizing Mom and Dad are now at an age where it wouldn't be that unusual for them to die.,,,v1.0,,,,,,,Response,"Two contrasting monologues— one classical, one contemporary.",,,,v1.0,,,,,,,,,,,,
Response,Serving a man his own testicles on a sizzling fajita platter.,,,v1.0,,,,,,,Response,Two men in a horse costume.,,,,v1.0,,,,,,,,,,,,
Response,Skulls and spiderwebs and shit.,,,v1.0,,,,,,,Response,Two tickets to Hamilton.,,,,v1.0,,,,,,,,,,,,
Response,Testing negative for being alive.,,,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
Response,The current state of American democracy.,,,v1.0,,,,,,,,TOTALS:,TOTALS:,,,30,0,0,0,0,,,,,,,,
Response,The ghostly specter of a delicious six-foot party sub that disappears when you try to take a bite.,,,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
Response,Vagina dentata.,,,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTALS:,,,31,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Set,Seasons Greetings Pack,Special,Special,Source,v1.0,v1.1,,,,,,,,,,,
Set,Food Pack,Notes,Source,v1.0,v1.1,v1.2,,,,,,"30 cards
Released: 12/5/2017. 
Icon: a gift box with a bow.
Notes:Target exclusive holiday pack containing 12 new cards (2 prompt cards, 10 response cards) and 18 cards from previous holiday packs. 
Cards are designated as ""New"" or which previous pack they came from in the Comments column.",,,,,,,,,,,,,,,,
,"30 cards 
Released: November 19, 2015 with one card changed.
Icon: fork/knife crossed
Updated Icon: Burger
Note:originally Pax Prime 2015 (cherry [C], coconut [B], and mango [A]), but with one card changed",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Prompt,"Blessed are you, Lord our God, creator of the universe, who has granted us _____.",,,2013 Holiday Pack,v1.0,v1.1,,,,,,,,,,,
Prompt,"Aw babe, your burps smell like ______!",,B,v1.0,v1.1,v1.2,,,,,Prompt,"Donna, pick up my dry cleaning and get my wife something for Christmas. I think she likes _____.",,,,v1.0,v1.1,,,,,,,,,,,
Prompt,"Don't miss Rachel Ray's hit new show, Cooking with ______.","Corrected card replaces, ""Don’t miss Rachel Ray’s hit new show, Cooking with ______.""",B,v1.0,v1.1,v1.2,,,,,Prompt,"Here's what you can expect for the new year.
Out: __.
In: __.",PICK 2,PICK 2,2013 Holiday Pack,v1.0,v1.1,,,,,,,,,,,
Prompt,"Excuse me, waiter. Could you take this back? This soup tastes like ______.",,C,v1.0,v1.1,v1.2,,,,,Prompt,It's beginning to look a lot like _____.,,,,v1.0,v1.1,,,,,,,,,,,
Prompt,"I’m Bobby Flay, and if you can’t stand ______, get out of the kitchen!",,A,v1.0,v1.1,v1.2,,,,,Prompt,Jesus is _____.,,,2012 Holiday Pack,v1.0,v1.1,,,,,,,,,,,
Prompt,It’s not delivery. It’s ______.,,A,v1.0,v1.1,v1.2,,,,,Prompt,"This holiday season, Tim Allen must overcome his fear of _____ to save Christmas.",,,2012 Holiday Pack,v1.0,v1.1,,,,,,,,,,,
Prompt,Now on Netflix: Jiro Dreams of ______.,,C,v1.0,v1.1,v1.2,,,,,Prompt,What's the one thing that makes an elf instantly ejaculate?,,,2013 Holiday Pack,v1.0,v1.1,,,,,,,,,,,
,,,,,,,,,,,Prompt,"You love Black Friday. You love Cyber Monday. So don’t miss _____ Wednesday, only at Kohl’s!",,,,,v1.1,,,,,,,,,,,
Response,A belly full of hard-boiled eggs.,,B,v1.0,v1.1,v1.2,,,,,,,,,,,,,,,,,,,,,,
Response,A joyless vegan patty.,,B,v1.0,v1.1,v1.2,,,,,Response,A choir of angels descending from the sky and jizzing all over dad's sweater.,,,,v1.0,v1.1,,,,,,,,,,,
Response,A sobering quantity of chili cheese fries.,,A,v1.0,v1.1,v1.2,,,,,Response,A frozen homeless man shattering on your doorstep.,,,,v1.0,,,,,,,,,,,,
Response,A table for one at The Cheesecake Factory.,,B,v1.0,v1.1,v1.2,,,,,Response,A snowman that contains the soul of my dead father.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Being emotionally and physically dominated by Gordon Ramsay.,,B,v1.0,v1.1,v1.2,,,,,Response,A toxic family environment.,,,2012 Holiday Pack,v1.0,v1.1,,,,,,,,,,,
Response,Clamping down on a gazelle’s jugular and tasting its warm life waters.,,C,v1.0,v1.1,v1.2,,,,,Response,Another shitty year.,,,2012 Holiday Pack,v1.0,v1.1,,,,,,,,,,,
Response,Committing suicide at the Old Country Buffet.,,C,v1.0,v1.1,v1.2,,,,,Response,Capitalism,,,,,v1.1,,,,,,,,,,,
Response,Father’s forbidden chocolates.,,C,v1.0,v1.1,v1.2,,,,,Response,Elf cum.,,,2012 Holiday Pack,v1.0,v1.1,,,,,,,,,,,
Response,Going vegetarian and feeling so great all the time.,,A,v1.0,v1.1,,,,,,Response,Finding out that Santa isn't real.,,,2013 Holiday Pack,v1.0,v1.1,,,,,,,,,,,
Response,Jizz Twinkies.,,C,v1.0,v1.1,v1.2,,,,,Response,Fucking up Silent Night in front of 300 parents.,,,2012 Holiday Pack,v1.0,v1.1,,,,,,,,,,,
Response,Kale farts.,,A,v1.0,v1.1,v1.2,,,,,Response,Gift-wrapping a live hamster.,,,2012 Holiday Pack,v1.0,v1.1,,,,,,,,,,,
Response,Kevin Bacon Bits.,,B,v1.0,v1.1,v1.2,,,,,Response,How cool it is that I love Jesus and he loves me back.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Licking the cake batter off of grandma’s fingers.,,A,v1.0,v1.1,v1.2,,,,,Response,How great of a blowjob Jesus could give.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Motherfucking tater tots.,,,,,v1.2,,,,,Response,How many drinks Aunty Deborah has had.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Not knowing what to believe anymore about butter.,,B,v1.0,v1.1,v1.2,,,,,Response,My hot cousin.,,,2012 Holiday Pack,v1.0,v1.1,,,,,,,,,,,
Response,Oreos for dinner.,,,v1.0,v1.1,v1.2,,,,,Response,My uncle who voted for Trump.,,,,v1.0,v1.1,,,,,,,,,,,
Response,Real cheese flavor.,,A,v1.0,v1.1,v1.2,,,,,Response,Piece of shit Christmas cards with no money in them.,,,2013 Holiday Pack,v1.0,v1.1,,,,,,,,,,,
Response,Soup that’s better than pussy.,,B,v1.0,v1.1,v1.2,,,,,Response,Pretending to be happy.,,,2012 Holiday Pack,v1.0,v1.1,,,,,,,,,,,
Response,Sucking down thousands of pounds of krill every day.,,B,v1.0,v1.1,v1.2,,,,,Response,"Probably Grandma's last Christmas, kids.",,,,v1.0,v1.1,,,,,,,,,,,
Response,Swishing the wine around and sniffing it like a big fancy man.,,A,v1.0,v1.1,v1.2,,,,,Response,Snow falling gently on the frozen body of an orphan boy.,,,,v1.0,,,,,,,,,,,,
Response,The $1 Beefy Fritos Burrito from Taco Bell.,,,,,v1.2,,,,,Response,Socks.,,,2012 Holiday Pack,v1.0,v1.1,,,,,,,,,,,
Response,The Dial-A-Slice Apple Divider from Williams-Sonoma.,,A,v1.0,v1.1,,,,,,Response,Starting to see where ISIS is coming from.,,,,v1.0,v1.1,,,,,,,,,,,
Response,The Hellman’s Mayonnaise Corporation.,,C,v1.0,v1.1,v1.2,,,,,Response,"The 9,000 children who starved to death today.",,,2014 Holiday Pack,v1.0,v1.1,,,,,,,,,,,
Response,The hot dog I put in my vagina ten days ago.,,C,v1.0,v1.1,v1.2,,,,,Response,"The shittier, Jewish version of Christmas.",,,2013 Holiday Pack,v1.0,v1.1,,,,,,,,,,,
Response,The inaudible screams of carrots.,,C,v1.0,v1.1,v1.2,,,,,Response,"These low, low prices!",,,2013 Holiday Pack,v1.0,v1.1,,,,,,,,,,,
Response,What to do with all of this chocolate on my penis.,,A,v1.0,v1.1,v1.2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TOTALS:,TOTALS:,,,30,30,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTALS:,,,30,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Set,Retail Product Pack,Special,Special,Duplicates,v1.0,,,,,,,,,,,,
Set,Pride Pack,Special,Duplicates,v1.0,,,,,,,,"20 cards
Released: August 1, 2016. 
Icon: A money bag with a dollar sign.",,,,,,,,,,,,,,,,
,"30 cards
Released: June 16, 2018
Icon: A four color (red, yellow, green, and blue) striped flag
Updated Icon: black and white rainbow with cloud",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Prompt,"Wait, I came here to buy socks. How did I wind up with ______?",,,,v1.0,,,,,,,,,,,,
Prompt,"Excuse me, straight man, but ______ isn't for you, STRAIGHT MAN.",,,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
Prompt,GOD HATES ______!,,,v1.0,,,,,,,Response,"A framed photocopy of an oil painting of Paris, France.",,,,v1.0,,,,,,,,,,,,
Prompt,"If you can't love yourself, how the hell you gonna love ______?",,,v1.0,,,,,,,Response,A Pringle®.,,,Absurd,v1.0,,,,,,,,,,,,
Prompt,We're here! We're ______! Get used to it!,,,v1.0,,,,,,,Response,A Pringles® can full of screams.,,,,v1.0,,,,,,,,,,,,
Prompt,YAAAAAAS! You are serving me ______ realness!,,,v1.0,,,,,,,Response,An 800-foot-long pool noodle.,,,Absurd,v1.0,,,,,,,,,,,,
,,,,,,,,,,,Response,An exclusive partnership with Taylor Swift.,,,,v1.0,,,,,,,,,,,,
Response,30 shirtless bears emerging from the fog.,,,v1.0,,,,,,,Response,Blood Pringles®.,,,,v1.0,,,,,,,,,,,,
Response,A 6-hour conversation on gender and queer theory.,,,v1.0,,,,,,,Response,Buying and returning clothes just to have someone to talk to.,,,,v1.0,,,,,,,,,,,,
Response,A big black dick strapped to a frail white body.,,,v1.0,,,,,,,Response,Buying the right toothbrush cup for my lifestyle.,,,,v1.0,,,,,,,,,,,,
Response,A genderless hole.,,,v1.0,,,,,,,Response,Confusing possessions with accomplishments.,,,,v1.0,,,,,,,,,,,,
Response,A messy bitch who lives for drama.,,,v1.0,,,,,,,Response,Crunchy snacks for my big flappy mouth.,,,Absurd,v1.0,,,,,,,,,,,,
Response,A Subaru.,,,v1.0,,,,,,,Response,Extracting the maximum amount of money from naive consumers.,,,,v1.0,,,,,,,,,,,,
Response,A twink in a bounce house.,,,v1.0,,,,,,,Response,Gender-neutral toys that make children feel no emotions whatsoever.,,,,v1.0,,,,,,,,,,,,
Response,All the different kinds of lesbians.,,,v1.0,,,,,,,Response,Getting eaten out in the family fitting room.,,,,v1.0,,,,,,,,,,,,
Response,"Black, white, Puerto Rican, and Chinese boys.",,,v1.0,,,,,,,Response,How fun it is to eat Pringles®.,,,,v1.0,,,,,,,,,,,,
Response,"Britney, bitch!",,,v1.0,,,,,,,Response,Refusing to go up a size.,,,,v1.0,,,,,,,,,,,,
Response,Getting your ass ate.,,,v1.0,,,,,,,Response,Saving 20% or more on khakis.,,,,v1.0,,,,,,,,,,,,
Response,Having your titties sucked while sucking on titties.,,,v1.0,,,,,,,Response,Shiny gadgets for sadness distraction.,,,,v1.0,,,,,,,,,,,,
Response,Licking that pussy right.,,,v1.0,,,,,,,Response,Subsisting on tiny pizzas.,,,,v1.0,,,,,,,,,,,,
Response,"Marsha P. Johnson, the trans woman of color who may have thrown the first brick at Stonewall.",,,v1.0,,,,,,,Response,The obscene amount of money Cards Against Humanity is making by selling this game at Target®.,,,,v1.0,,,,,,,,,,,,
Response,Older fitness gays.,,,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
Response,Peeing in a bathroom.,,,v1.0,,,,,,,,TOTALS:,TOTALS:,,,20,0,0,0,0,,,,,,,,
Response,Poppers and lube.,,,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
Response,PrEP.,,,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
Response,Repeatedly coming out as bisexual.,,,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
Response,"Talking, laughing, loving, breathing, fighting, fucking, crying, drinking, riding, winning, losing, cheating, kissing, thinking, dreaming.",,,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
Response,Telling Heather she can't pull off that top.,,,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
Response,The careless cunt who left a water ring on my credenza.,,,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
Response,"The pan-ethnic, gender-fluid children of the future.",,,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
Response,"Those cheekbones, honey.",,,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
Response,Whatever straight people do for fun.,,,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTALS:,,,30,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Set,Clam-O-Naise,Special,Special,Duplicates,v1.0,,,,,,,,,,,,
Set,ClickHole Greeting Cards Pack,Special,Duplicates,v1.0,,,,,,,,"30 cards
Released: October 11, 2022. 
Icon: A clam
Notes: Originally embedded in a jar of Claim-o-Naise, now a stand-alone pack.",,,,,,,,,,,,,,,,
,"15 cards
Released: July 21, 2020  
Icon: Greeting card with lips",,,,,,,,,,Prompt,"That's right!
We put _______ in mayonnaise.",,,,v1.0,,,,,,,,,,,,
,,,,,,,,,,,Prompt,LOSE WEIGHT and FEEL GREAT with the ALL-NEW CLAM-O-NAISE® and _______.,,,,v1.0,,,,,,,,,,,,
Prompt,"Hallmark has invented a new holiday. It's called ""________________ Day.""",,,v1.0,,,,,,,Prompt,"When I think of Clam-O-Naise®, I think about _______.",,,,v1.0,,,,,,,,,,,,
Prompt,Happy Birthday! I love you. Here's ________________.,,,v1.0,,,,,,,,,,,,,,,,,,,,,,,,
Prompt,"Honey, it's gonna take more than a shitty greeting card to make up for ten years of ________________.",,,v1.0,,,,,,,Response,Force-feeding mayonnaise to Tom Holland.,,,,v1.0,,,,,,,,,,,,
Prompt,I cannot stop smiling about ________________.,,,v1.0,,,,,,,Response,The sexual possibilities of coleslaw.,,,,v1.0,,,,,,,,,,,,
Prompt,Roses are red. Violets are blue. I am ________________ and so are you.,,,v1.0,,,,,,,Response,"KNIFE-CLAM, the clam that stabs.",,,,v1.0,,,,,,,,,,,,
,,,,,,,,,,,Response,MayooooooOOOO-NAISE!!!!,,,,v1.0,,,,,,,,,,,,
Response,"A one-star Uber driver named ""Wife of Tarantula.""",,,v1.0,,,,,,,Response,A perfectly normal rimjob that doesn't involve clams or mayonnaise in any way.,,,,v1.0,,,,,,,,,,,,
Response,An explosion of glitter.,,,v1.0,,,,,,,Response,Some kind of mayonnaise baptism.,,,,v1.0,,,,,,,,,,,,
Response,Eating my children.,,,v1.0,,,,,,,Response,Sneaking 700 steamed clams into a movie theater.,,,,v1.0,,,,,,,,,,,,
Response,Emerging from my mother's vagina.,,,v1.0,,,,,,,Response,"Dr. Mayonnaise, the doctor who injects his patients with mayonnaise.",,,,v1.0,,,,,,,,,,,,
Response,Give me kiss.,,,v1.0,,,,,,,Response,"Not having sex with a clam under any circumstances, no matter how sexy it looks.",,,,v1.0,,,,,,,,,,,,
Response,Looking like shit.,,,v1.0,,,,,,,Response,Sticking a tube up a cow's ass to collect its mayonnaise.,,,,v1.0,,,,,,,,,,,,
Response,Luring my husband to the bedroom with a trail of ferret teeth and appearing on the bed in a ferret costume.,,,v1.0,,,,,,,Response,"My beautiful daughter, Salmonella.",,,,v1.0,,,,,,,,,,,,
Response,Mom's special birthday rimjob.,,,v1.0,,,,,,,Response,Fucking a clam out of curiosity.,,,,v1.0,,,,,,,,,,,,
Response,My five dead husbands.,,,v1.0,,,,,,,Response,Tucker Carlson debating a clam on live television.,,,,v1.0,,,,,,,,,,,,
Response,Turning 70 and still being fuckable.,,,v1.0,,,,,,,Response,This kind of clam.,,,,v1.0,,,,,,,,,,,,
,,,,,,,,,,,Response,The United States Strategic Mayonnaise Reserve.,,,,v1.0,,,,,,,,,,,,
,TOTALS:,,,15,0,0,0,0,0,,Response,White people food.,,,,v1.0,,,,,,,,,,,,
,,,,,,,,,,,Response,Eating shellfish in defiance of God's will.,,,,v1.0,,,,,,,,,,,,
Set,Jew Pack/Chosen People Pack,Special,Duplicates,v1.0,v1. 1,v1. 2,v1.3,,,,Response,Keepin' it smooth and creamy.,,,,v1.0,,,,,,,,,,,,
,"30 cards from their ight Sensible Gifts for Hanukkah. Released November 10, 2015. These cards were re-released as the “Jew Pack” to be purchased directly from CAH’s website on May 3, 2016.
Re-released as Chosen People Pack only sold in Target stores on 12/5/2017.
Icon: The Star of David. Icon 2021: A Menorah ",,,,,,,,,,Response,The remarkable effectiveness of mayonnaise as a sexual lubricant.,,,,v1.0,,,,,,,,,,,,
,,,,,,,,,,,Response,Clam-O Naise®.,,,,v1.0,,,,,,,,,,,,
Prompt,"According to Freud, all children progress through three stages of development: the oral stage, the anal stage, and the ______ stage.",,,v1.0,v1. 1,v1. 2,v1.3,,,,Response,My clamfather.,,,,v1.0,,,,,,,,,,,,
Prompt,"Can't you see? The Jews are behind everything-the banks, the media, even ______!",,,v1.0,v1. 1,v1. 2,v1.3,,,,Response,Just the right amount of mayonnaise.,,,,v1.0,,,,,,,,,,,,
Prompt,"Coming to Broadway next season: ""______ on the Roof.""",,,v1.0,v1. 1,v1. 2,v1.3,,,,Response,Sodium benzoate (to preserve freshness).,,,,v1.0,,,,,,,,,,,,
Prompt,"Oh, your daughter should meet my son! He gives to charity, he loves ______ and did I mention he's a doctor?",,,v1.0,v1. 1,v1. 2,v1.3,,,,Response,Cholesterol.,,,,v1.0,,,,,,,,,,,,
Prompt,What's so important right now that you can't call your mother?,,,v1.0,v1. 1,v1. 2,v1.3,,,,Response,A garbage bag full of mayonnaise.,,,,v1.0,,,,,,,,,,,,
,,,,,,,,,,,Response,"The all-new CLAMWICH, only at Subway!",,,,v1.0,,,,,,,,,,,,
Response,A big brain full of facts and sadness.,,,v1.0,v1. 1,v1. 2,v1.3,,,,Response,Not even knowing what's happening anymore.,,,,v1.0,,,,,,,,,,,,
Response,A headache that's definitely cancer.,,,v1.0,v1. 1,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,A lifetime of internalized guilt.,,,v1.0,v1. 1,v1. 2,v1.3,,,,,TOTALS:,TOTALS:,,,19,0,0,0,0,,,,,,,,
Response,A little bit of schmutz right there.,,,v1.0,v1. 1,,,,,,,,,,,,,,,,,,,,,,,
Response,A three-foot-tall corned beef sandwich.,,,v1.0,v1. 1,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,Also being named Harvey Weinstein.,,,,,,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,Bags of money.,,,v1.0,v1. 1,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,Being a burden. ,,,,,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,Being chosen by God to win a free iPod Nano.,,,v1.0,v1. 1,,,,,,,,,,,,,,,,,,,,,,,
Response,Bupkis. ,,,,,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,Chopping off a bit of the penis.,,,v1.0,v1. 1,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,Demolishing that ass like a Palestinian village.,,,v1.0,v1. 1,,,,,,,,,,,,,,,,,,,,,,,
Response,Hiding from the Nazis.,,,v1.0,v1. 1,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,Holding up the line at Walgreens by trying to use an expired coupon.,,,v1.0,v1. 1,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,Kvetching. ,,,,,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,Pork products.,,,v1.0,v1. 1,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,Resurrecting an army of six million Jews and conquering Germany.,,,v1.0,v1. 1,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,Sacrificing Isaac to the Lord.,,,v1.0,v1. 1,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,Some kind of concentrated encampment for people.,,,v1.0,v1. 1,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,Suddenly remembering that the Holocaust happened.,,,v1.0,v1. 1,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,The blood of Christian babies.,,,v1.0,v1. 1,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,The ethical implications of enjoying a Woody Allen film in light of his child fucking.,,,,,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,The ethical implications of enjoying a Woody Allen film in light of the allegations against him.,,,v1.0,v1. 1,,,,,,,,,,,,,,,,,,,,,,,
Response,The part of Anne Frank's diary where she talks about her vagina.,,,v1.0,v1. 1,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,Thy neighbor's wife.,,,v1.0,v1. 1,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,Torturing Jews until they say they're not Jews anymore.,,,v1.0,v1. 1,v1. 2,,,,,,,,,,,,,,,,,,,,,,
Response,Usury.,,,v1.0,v1. 1,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,Wandering the desert for 40 years.,,,v1.0,v1. 1,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,What it means to be a Jewish woman in contemporary society.,,,v1.0,v1. 1,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
Response,Whoopi Goldberg.,,,v1.0,v1. 1,v1. 2,v1.3,,,,,,,,,,,,,,,,,,,,,
